program count,Institution,id,CIP Code,link,coursework,Program,graduation requirement,internship,location,pathway,duration,program type,institution type
1,University of Southern California,164,both to 0702,https://gis.usc.edu/programs/masters-geographic-information-science-and-technology/,,MS Geographic Information Science and Technology ,thesis,/,on-site,/,2 years,research,>1 GIS Program
2,University of Southern California,164,,https://gis.usc.edu/programs/masters-geodesign-environment-health/,,"MS Geodesign, Environment and Health",non-thesis (capstone project),/,on-site,/,2 years,professional,>1 GIS Program
3,University of Southern California,164,,https://gis.usc.edu/curriculum/#msseda,,MS Spatial Economics and Data Analysis,non-thesis (coursework),/,on-site,/,2 years,professional,>1 GIS Program
4,University of Southern California,164,,https://gis.usc.edu/curriculum/#mssds,,MS Spatial Data Science,non-thesis (coursework),/,on-site,/,2 years,professional,>1 GIS Program
5,University of Southern California,164,,https://gis.usc.edu/curriculum/#hsgi,,MS Human Security and Geospatial Intelligence,non-thesis (capstone project),/,on-site,/,2 years,professional,>1 GIS Program
6,University of Southern California,164,,https://gis.usc.edu/curriculum/#mgss,,MS Global Security Studies,non-thesis (report),/,on-site,/,2 years,professional,>1 GIS Program
7,Pennsylvania State University-World Campus,71,0701 to 0702,https://www.worldcampus.psu.edu/degrees-and-certificates/penn-state-online-gis-geographic-information-systems-masters-degree,,MS Geographic Information Systems,non-thesis (capstone project),/,online,/,2.5 years,professional,>1 GIS Program
8,Pennsylvania State University-World Campus,71,,https://www.worldcampus.psu.edu/degrees-and-certificates/penn-state-online-geodesign-masters-degree,https://bulletins.psu.edu/university-course-descriptions/graduate/geodz/,MPS Geodesign,non-thesis (capstone project),/,online,/,,professional,>1 GIS Program
9,Pennsylvania State University-World Campus,71,,https://www.worldcampus.psu.edu/degrees-and-certificates/penn-state-online-homeland-security-intelligence-and-geospatial-analysis-masters-degree,,MPS Homeland Security with Intelligence and Geospatial Analysis Option,non-thesis (capstone project),/,online,/,,professional,>1 GIS Program
10,Pennsylvania State University-World Campus,71,,https://www.worldcampus.psu.edu/degrees-and-certificates/penn-state-online-spatial-data-science-masters-degree,,MS Spatial Data Science,thesis or non-thesis (capstone project),/,online,/,,mixed,>1 GIS Program
11,University of Illinois Urbana-Champaign,129,0701 to both to 30&0701&0702,http://catalog.illinois.edu/graduate/las/geography-ms/,http://catalog.illinois.edu/graduate/las/geography-ms/geographic-information-science-professional-science-masters/#degreerequirementstext,MS Geography with GIS Specialization,thesis,/,on-site,/,2 years,research,>1 GIS Program
12,University of Illinois Urbana-Champaign,129,,https://psm.illinois.edu/gis/overview,http://catalog.illinois.edu/graduate/las/geography-ms/geographic-information-science-professional-science-masters/#degreerequirementstext,PSM Geographic Information Science,non-thesis (coursework),required,on-site,/,18 months,professional,>1 GIS Program
13,University of Illinois Urbana-Champaign,129,,https://gis.illinois.edu/,http://catalog.illinois.edu/graduate/las/cyberGIS-geospatial-data-science-ms/#degreerequirementstext,MS CyberGIS and Geospatial Data Science,non-thesis (coursework),/,online,/,4 terms,professional,>1 GIS Program
14,University of Maryland-College Park,138,0701 to both to 29+both to 29+0702,https://geospatial.umd.edu/education/master-science-geospatial-information-sciences,https://academiccatalog.umd.edu/graduate/programs/geospatial-information-sciences-geis/geospatial-information-sciences-ms/,MS Geospatial Information Sciences,non-thesis (capstone project),/,hybrid,yes,1.5 year,professional,>1 GIS Program
15,University of Maryland-College Park,138,,https://geospatial.umd.edu/education/master-science-geospatial-intelligence,https://academiccatalog.umd.edu/graduate/programs/geospatial-intelligence-gino-online/geospatial-intelligence-ms/,MS Geospatial Intelligence,non-thesis (capstone project),/,hybrid,yes,1.5 year,professional,>1 GIS Program
16,University of Redlands,160,- to 0702,https://www.redlands.edu/academics/graduate/master-of-science-in-geographic-information-systems,https://catalog.redlands.edu/programs/M.GIS,MS Geographic Information Systems,non-thesis (capstone project),optional,on-site,/,1/2 years,professional,>1 GIS Program
17,University of Redlands,160,,https://www.redlands.edu/academics/graduate/executive-master-of-geographic-information-systems,https://catalog.redlands.edu/programs/M.EMGIS,Executive Master of Geographic Information Systems,non-thesis (capstone project),/,online,/,,professional,>1 GIS Program
18,Calvin University,23,- to 0702 to 0702&0407,https://online.calvin.edu/programs/ms-geographic-information-science/,https://catalog.calvin.edu/preview_program.php?catoid=22&poid=12451&hl=geographic&returnto=search,MS Geographic Information Science,non-thesis (coursework),/,online,/,9-24 months,professional,>1 GIS Program
19,Calvin University,23,,https://online.calvin.edu/programs/mpa-master-public-administration/spatial-analysis-concentration/,https://online.calvin.edu/programs/mpa-master-public-administration/courses/,MPA Spatial Analysis Concentration,non-thesis (coursework),/,online,/,36 cr,professional,>1 GIS Program
20,Temple University,91,- to 0702,https://bulletin.temple.edu/graduate/scd/cla/geographic-information-systems-psm/,,PSM Geographic Information Systems,non-thesis (capstone project and intern),required,on-site,/,12-36 months,professional,>1 GIS Program
21,Temple University,91,,https://bulletin.temple.edu/graduate/scd/cla/geospatial-data-science-psm/#programrequirementstext,,PSM Geospatial Data Science,non-thesis (capstone project and intern),required,on-site,/,12-36 months,professional,>1 GIS Program
22,University of Wisconsin-Madison,172,both,https://geography.wisc.edu/research-graduate-programs/,,MS Cartography and Geographic Information Systems,thesis,/,on-site,/,2 years,research,>1 GIS Program
23,University of Wisconsin-Madison,172,,https://geography.wisc.edu/gis/,,Accelerated MS Cartography & GIS,non-thesis (capstone project),/,on-site,/,1 year,professional,>1 GIS Program
24,University of Wisconsin-Madison,172,,https://geography.wisc.edu/gis/onlinemasters/,,MS Cartography & GIS - GIS Development,non-thesis (capstone project),/,online,/,1 year,professional,>1 GIS Program
25,Georgia Institute of Technology-Main Campus,40,- to 0702,https://planning.gatech.edu/master-science-geographic-information-science-technology,https://catalog.gatech.edu/programs/gist-ms/#requirementstext,MS Geographic Information Systems Technology,non-thesis (capstone project),/,on-site,/,34 cr 1 year,professional,>1 GIS Program
26,Georgia Institute of Technology-Main Campus,40,,https://planning.gatech.edu/master-science-urban-analytics,https://catalog.gatech.edu/programs/urban-analytics-ms/#requirementstext,MS Urban Analytics,non-thesis (capstone project),,on-site,/,30 cr,professional,>1 GIS Program
27,George Mason University,38,both,https://science.gmu.edu/academics/departments-units/geography-geoinformation-science/geographic-and-cartographic-science-ms,https://catalog.gmu.edu/colleges-schools/science/geography-geoinformation-science/geographic-cartographic-sciences-ms/#requirementstext,MS Geographic and Cartographic Science,thesis or non-thesis (exam),,on-site,yes,30 cr,mixed,>1 GIS Program
28,George Mason University,38,,https://catalog.gmu.edu/colleges-schools/science/geography-geoinformation-science/geoinformatics-geospatial-intelligence-ms/,https://catalog.gmu.edu/colleges-schools/science/geography-geoinformation-science/geoinformatics-geospatial-intelligence-ms/#requirementstext,MS Geoinformatics and Geospatial Intelligence,thesis or non-thesis (research project and exam),/,on-site,yes,30 cr,mixed,>1 GIS Program
29,University at Buffalo,108,0701 to both,https://www.buffalo.edu/cas/geography/graduate-program/master-s-degree-program/ma-geography-with-a-concentration-in-gis.html,https://catalogs.buffalo.edu/preview_program.php?catoid=12&poid=5031&returnto=723,MA Geography with GIS Concentration,non-thesis (portfolio or research project),optional,on-site,/,1-2 years,professional,>1 GIS Program
30,University at Buffalo,108,,https://www.buffalo.edu/cas/geography/graduate-program/master-s-degree-program/MS_GIS.html,https://catalogs.buffalo.edu/preview_program.php?catoid=12&poid=5030&returnto=723,MS Geographic and Cartographic Science,non-thesis (portfolio or research project),optional,on-site,/,2 years,professional,>1 GIS Program
31,Florida State University,37,both,https://cosspp.fsu.edu/geography/graduate/masters-in-gis/,,MS Geographic Information Science,non-thesis (capstone project),/,on-site,yes,1 year,professional,>1 GIS Program
